country,child_mort,income,inflation,life_expec,total_fer,gdpp,region,continent,latitude,longitude,exports,health,imports
Afghanistan,90.2,1610.0,9.44,56.2,5.82,553.0,Southern Asia,Asia,33.93911,67.709953,55.300000000000004,41.9174,248.297
Albania,16.6,9930.0,4.49,76.3,1.65,4090.0,Southern Europe,Europe,41.153332,20.168331,1145.2,267.895,1987.74
Algeria,27.3,12900.0,16.1,76.5,2.89,4460.0,Northern Africa,Africa,28.033886,1.659626,1712.64,185.982,1400.44
Angola,119.0,5900.0,22.4,60.1,6.16,3530.0,Middle Africa,Africa,-11.202692,17.873887,2199.1899999999996,100.60499999999999,1514.37
Antigua and Barbuda,10.3,19100.0,1.44,76.8,2.13,12200.0,Caribbean,North America,17.060816,-61.796428,5551.0,735.6600000000001,7185.8
Argentina,14.5,18700.0,20.9,75.8,2.37,10300.0,South America,South America,-38.416097,-63.616672,1946.6999999999998,834.3,1648.0
Armenia,18.1,6700.0,7.77,73.3,1.69,3220.0,Western Asia,Asia,40.069099,45.038189,669.7600000000001,141.68000000000004,1458.66
Australia,4.8,41400.0,1.16,82.0,1.93,51900.0,Australia and New Zealand,Oceania,-25.274398,133.775136,10276.2,4530.87,10847.099999999999
Austria,4.3,43200.0,0.873,80.5,1.44,46900.0,Western Europe,Europe,47.516231,14.550072,24059.699999999997,5159.0,22418.199999999997
Azerbaijan,39.2,16000.0,13.8,69.1,1.92,5840.0,Western Asia,Asia,40.143105,47.576927,3171.12,343.392,1208.8799999999999
Bahamas,13.8,22900.0,-0.393,73.8,1.86,28000.0,Caribbean,North America,25.03428,-77.39628,9800.0,2209.2,12236.0
Bahrain,8.6,41100.0,7.44,76.0,2.16,20700.0,Western Asia,Asia,25.930414,50.637772,14386.5,1028.79,10536.3
Bangladesh,49.4,2440.0,7.14,70.4,2.33,758.0,Southern Asia,Asia,23.684994,90.356331,121.28,26.6816,165.244
Barbados,14.2,15300.0,0.321,76.7,1.78,16000.0,Caribbean,North America,13.193887,-59.543198,6320.0,1275.2,7792.0
Belarus,5.5,16200.0,15.1,70.4,1.49,6030.0,Eastern Europe,Europe,53.709807,27.953389,3099.4199999999996,338.283,3889.35
Belgium,4.5,41100.0,1.88,80.0,1.86,44400.0,Western Europe,Europe,50.503887,4.469936,33921.600000000006,4750.799999999999,33166.8
Belize,18.8,7880.0,1.14,71.4,2.71,4340.0,Central America,North America,17.189877,-88.49765,2525.88,225.68,2495.5
Benin,111.0,1820.0,0.885,61.8,5.36,758.0,Western Africa,Africa,9.30769,2.315834,180.404,31.077999999999996,281.976
